"-OR-","-或者-"
"Virtual Terminal Payment","虚拟终端付款"
"Void","空"
"We prefer PayPal (150 X 40)","我们喜欢PayPal（150X40）"
"We prefer PayPal (150 X 60)","我们喜欢PayPal（150X60）"
"Website Payments Plus","网站支付进阶版"
"Website Payments Pro (Includes Express Checkout)","网站付款专业版（包括快速结账）"
"Website Payments Pro Hosted Solution","网站支付专业版托管解决方案"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","网站付款专业的托管解决方案（包括快速结账）"
"Website Payments Pro Hosted Solution and Express Checkout","网站付款专业托管解决方案和快速结账"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","网站付款专业，Payflow版（包括快速结账）"
"Website Payments Pro Payflow Edition and Express Checkout","网站付款专业版Payflow和快速结账"
"Website Payments Pro and Express Checkout","网站付款专业版和快速结账"
"Website Payments Standard","网站专门付款"
"Website Payments Standard Payment","网站标准付款"
"What is PayPal?","Paypal是啥？"
"Whether to create a billing agreement, if there are no active billing agreements available.","如果无可用的自动扣款协议，是否建立新的自动扣款"
"Will appear as a payment option only for customers who have at least one active billing agreement.","只对至少有一个自动扣款协议的客户显示"
"WorldLink Withdrawal","WorldLink取款"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","为了简化您以后使用Paypal付款流程，您想签署一份自动扣款协议吗"
"Wrong PayPal Express Checkout Token specified.","错误Paypal快速结账安全令牌"
"Yes","是"
"Yes. Matched Address and five-didgit ZIP","是. 地址和五位数邮政编码符合"
"You cannot void a verification transaction","您不能使核查交易错误化"
"You will be redirected to the PayPal website in a few seconds.","您将在几秒后引导至Paypal网站"
"You will be redirected to the PayPal website when you place an order.","当您提交订单时，将被引导至Paypal网站"
"You will be redirected to the PayPal website.","您将被引导至Paypal网站"
"You will be required to enter your payment details after you place an order.","提交订单之后，您需要输入您的详细付款讯息"
"Zip/Postal Code","邮政编码"
"eBay Auction Payment","eBay拍卖付款"
